Date,Year,Month,Quarter,DayOfWeek,Open,High,Low,Close,Volume,Daily_Return_Pct,Cumulative_Return_Pct,Annual_Return_Pct,Volatility_21D,SMA_7,SMA_21,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI_14,BB_Upper,BB_Mid,BB_Lower,BB_Width,ATR_14,OBV
2016-02-01,2016,2,1,Monday,1936.94,1947.2,1920.3,1939.38,4322530000,-0.0443,1733.76,-3.64,1.4526,1906.22,1925.56,2005.43,2044.69,1913.74,1941.97,-28.23,-36.559,8.329,49.2,2010.43,1919.64,1828.84,0.0946,37.34,881298930000.0
2016-02-02,2016,2,1,Tuesday,1935.26,1935.26,1897.29,1903.03,4463190000,-1.8743,1699.39,-5.45,1.4875,1905.67,1918.85,2001.82,2043.8,1912.09,1939.09,-27.0,-34.6472,7.6472,43.63,1993.87,1914.16,1834.44,0.0833,37.68,876835740000.0
2016-02-03,2016,2,1,Wednesday,1907.07,1918.01,1872.23,1912.53,5172950000,0.4992,1708.37,-4.98,1.4714,1910.73,1914.08,1998.45,2042.86,1912.16,1937.12,-24.96,-32.7098,7.7498,45.37,1972.4,1908.95,1845.49,0.0665,38.26,882008690000.0
2016-02-04,2016,2,1,Thursday,1911.67,1927.35,1900.52,1915.45,5193320000,0.1527,1711.13,-4.83,1.4707,1912.42,1909.26,1994.97,2041.95,1912.67,1935.51,-22.84,-30.7358,7.8958,45.92,1956.04,1905.21,1854.37,0.0534,37.44,887202010000.0
2016-02-05,2016,2,1,Friday,1913.07,1913.07,1872.65,1880.05,4929940000,-1.8481,1677.66,-6.59,1.4948,1912.01,1904.01,1990.84,2040.81,1907.65,1931.4,-23.75,-29.3386,5.5886,40.57,1950.77,1902.05,1853.34,0.0512,37.82,882272070000.0
2016-02-08,2016,2,1,Monday,1873.25,1873.25,1828.46,1853.44,5636460000,-1.4154,1652.5,-7.91,1.441,1906.3,1899.74,1986.13,2039.51,1899.31,1925.63,-26.32,-28.7349,2.4149,37.07,1950.95,1898.62,1846.3,0.0551,38.81,876635610000.0
2016-02-09,2016,2,1,Tuesday,1848.46,1868.25,1834.94,1852.21,5183220000,-0.0664,1651.33,-7.97,1.4274,1893.73,1896.41,1981.39,2038.19,1892.06,1920.19,-28.13,-28.6139,0.4839,36.91,1949.87,1895.05,1840.23,0.0579,38.41,871452390000.0
2016-02-10,2016,2,1,Wednesday,1857.1,1881.6,1850.32,1851.86,4471170000,-0.0189,1651.0,-7.99,1.4266,1881.22,1892.99,1976.63,2036.9,1885.88,1915.13,-29.25,-28.7411,-0.5089,36.86,1944.73,1890.71,1836.69,0.0571,37.9,866981220000.0
2016-02-11,2016,2,1,Thursday,1847.0,1847.0,1810.1,1829.08,5500800000,-1.2301,1629.46,-9.12,1.427,1870.66,1887.78,1971.6,2035.47,1877.14,1908.76,-31.62,-29.3169,-2.3031,33.76,1948.3,1887.65,1827.0,0.0643,38.18,861480420000.0
2016-02-12,2016,2,1,Friday,1833.4,1864.78,1833.4,1864.78,4696920000,1.9518,1663.22,-7.35,1.4096,1863.84,1886.56,1966.85,2034.26,1875.24,1905.5,-30.26,-29.5055,-0.7545,41.99,1944.02,1884.8,1825.57,0.0628,38.0,866177340000.0
